City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Bredasdorp,ZA,2022-01-09 19:33:50,-34.5322,20.0403,69.12,88,100,5.75,light rain
60,Yerofey Pavlovich,RU,2022-01-09 19:33:50,53.9667,121.9667,-19.73,95,32,3.42,scattered clouds
61,Ceres,US,2022-01-09 19:30:30,37.5949,-120.9577,63.55,93,0,3.44,clear sky
62,Dire Dawa,ET,2022-01-09 19:33:51,9.5931,41.8661,69.3,65,3,3.22,clear sky
63,Biograd Na Moru,HR,2022-01-09 19:33:51,43.9433,15.4519,42.76,59,100,5.41,overcast clouds
64,Ambilobe,MG,2022-01-09 19:33:51,-13.2,49.05,75.38,93,100,0.69,moderate rain
65,Palmi,IT,2022-01-09 19:33:52,38.3653,15.8615,49.46,76,85,22.7,overcast clouds
66,Cherskiy,RU,2022-01-09 19:33:52,68.75,161.3,-22.43,99,100,3.38,overcast clouds
67,Tolaga Bay,NZ,2022-01-09 19:33:52,-38.3667,178.3,71.42,61,100,5.01,overcast clouds
68,Georgetown,MY,2022-01-09 19:28:52,5.4112,100.3354,80.89,80,40,4.61,scattered clouds
69,Ribeira Grande,PT,2022-01-09 19:33:53,38.5167,-28.7,61.2,77,40,14.97,scattered clouds
70,Sitka,US,2022-01-09 19:33:53,57.0531,-135.33,42.69,75,100,29.93,light rain
71,Fuyu,CN,2022-01-09 19:33:53,45.1833,124.8167,-3.17,99,100,3.8,overcast clouds
72,Bluff,NZ,2022-01-09 19:33:54,-46.6,168.3333,59.81,95,100,4.72,overcast clouds
73,Hay River,CA,2022-01-09 19:29:40,60.8156,-115.7999,-20.22,76,75,2.3,light snow
74,Namibe,AO,2022-01-09 19:33:54,-15.1961,12.1522,67.33,78,10,10.47,clear sky
75,Yar-Sale,RU,2022-01-09 19:33:54,66.8333,70.8333,-6.74,92,100,7.78,overcast clouds
76,Caldas Da Rainha,PT,2022-01-09 19:33:55,39.4033,-9.1384,57.02,90,96,1.99,overcast clouds
77,Akyab,MM,2022-01-09 19:33:55,20.15,92.9,67.15,75,0,7.78,clear sky
78,Atuona,PF,2022-01-09 19:33:55,-9.8,-139.0333,78.91,73,26,19.51,scattered clouds
79,Richards Bay,ZA,2022-01-09 19:33:56,-28.783,32.0377,72.1,80,3,7.9,clear sky
80,Havelock,US,2022-01-09 19:33:56,34.8791,-76.9013,71.55,74,75,7.0,broken clouds
81,Ushuaia,AR,2022-01-09 19:33:56,-54.8,-68.3,46.06,61,75,21.85,broken clouds
82,Half Moon Bay,US,2022-01-09 19:30:21,37.4636,-122.4286,61.3,75,0,0.0,clear sky
83,Strathpeffer,GB,2022-01-09 19:33:57,57.588,-4.5382,34.7,97,80,1.28,broken clouds
84,Port Macquarie,AU,2022-01-09 19:33:57,-31.4333,152.9167,69.76,84,46,7.05,scattered clouds
85,Airai,TL,2022-01-09 19:33:58,-8.9266,125.4092,60.78,90,77,1.23,broken clouds
86,Botwood,CA,2022-01-09 19:33:58,49.1499,-55.3482,24.91,82,32,10.16,scattered clouds
87,Bagenalstown,IE,2022-01-09 19:33:58,52.7003,-6.9618,45.12,95,100,4.38,overcast clouds
88,Lebu,CL,2022-01-09 19:33:59,-37.6167,-73.65,64.9,77,25,10.11,scattered clouds
89,Port Hardy,CA,2022-01-09 19:33:59,50.6996,-127.4199,50.76,81,75,25.32,broken clouds
90,Upernavik,GL,2022-01-09 19:33:59,72.7868,-56.1549,-0.26,99,100,11.12,overcast clouds
91,Klaksvik,FO,2022-01-09 19:34:00,62.2266,-6.589,41.92,86,52,31.5,broken clouds
92,Hofn,IS,2022-01-09 19:34:00,64.2539,-15.2082,42.93,86,100,22.21,overcast clouds
93,Olga,RU,2022-01-09 19:34:00,43.7444,135.2892,7.27,54,0,5.77,clear sky
94,College,US,2022-01-09 19:30:23,64.8569,-147.8028,-9.74,72,20,10.36,few clouds
95,Padang,ID,2022-01-09 19:30:55,-0.9492,100.3543,76.82,89,100,4.85,overcast clouds
96,Doha,QA,2022-01-09 19:35:01,25.2867,51.5333,60.78,61,0,2.3,clear sky
97,Saint-Philippe,RE,2022-01-09 19:35:01,-21.3585,55.7679,78.39,85,63,10.22,light rain
98,Vanimo,PG,2022-01-09 19:35:01,-2.6741,141.3028,75.56,88,100,5.64,overcast clouds
99,Kieta,PG,2022-01-09 19:35:02,-6.2167,155.6333,79.65,83,24,7.83,few clouds
100,Calvinia,ZA,2022-01-09 19:35:02,-31.4707,19.776,68.36,74,100,5.46,light rain
101,Kavaratti,IN,2022-01-09 19:35:02,10.5669,72.642,79.79,67,3,7.14,clear sky
102,Pineville,US,2022-01-09 19:32:29,31.3224,-92.4343,80.89,70,0,3.0,clear sky
103,Sungaipenuh,ID,2022-01-09 19:35:03,-2.0833,101.3833,64.8,97,100,1.54,overcast clouds
104,Coihaique,CL,2022-01-09 19:35:03,-45.5752,-72.0662,66.15,42,40,8.05,scattered clouds
105,Mahebourg,MU,2022-01-09 19:35:03,-20.4081,57.7,77.29,83,40,6.91,scattered clouds
106,Mataura,NZ,2022-01-09 19:35:04,-46.1927,168.8643,59.49,96,90,1.79,overcast clouds
107,Anadyr,RU,2022-01-09 19:35:04,64.75,177.4833,-12.5,70,0,8.95,clear sky
108,Lope De Vega,PH,2022-01-09 19:35:05,12.2983,124.6238,72.03,98,48,1.61,scattered clouds
109,Cabo San Lucas,MX,2022-01-09 19:31:38,22.8909,-109.9124,80.62,68,100,5.01,overcast clouds
110,Edd,ER,2022-01-09 19:35:05,13.9297,41.6925,81.32,62,6,18.39,clear sky
111,Porto Velho,BR,2022-01-09 19:35:05,-8.7619,-63.9039,82.45,74,40,4.61,scattered clouds
112,Cape Town,ZA,2022-01-09 19:34:49,-33.9258,18.4232,75.11,65,0,1.01,clear sky
113,Numaran,MX,2022-01-09 19:35:06,20.25,-101.9333,81.82,16,3,3.36,clear sky
114,Price,US,2022-01-09 19:35:06,39.5994,-110.8107,38.12,43,0,0.0,clear sky
115,Beyneu,KZ,2022-01-09 19:35:06,45.3167,55.2,29.88,75,14,20.15,few clouds
116,Guantanamo,CU,2022-01-09 19:35:07,20.1444,-75.2092,85.57,47,15,13.96,few clouds
117,Manjacaze,MZ,2022-01-09 19:35:07,-24.7117,33.8828,70.97,93,11,4.47,few clouds
118,Port-Gentil,GA,2022-01-09 19:35:08,-0.7193,8.7815,80.56,89,40,8.05,scattered clouds
119,Darnah,LY,2022-01-09 19:35:08,32.767,22.6367,56.89,65,91,22.39,overcast clouds
120,Jiaojiang,CN,2022-01-09 19:35:08,28.6803,121.4428,43.0,91,69,4.36,broken clouds
121,San Patricio,US,2022-01-09 19:35:09,28.017,-97.5169,82.49,71,87,13.11,overcast clouds
122,Fenoarivo,MG,2022-01-09 19:35:09,-18.933,47.4354,68.07,77,40,10.36,scattered clouds
123,Tasiilaq,GL,2022-01-09 19:35:09,65.6145,-37.6368,32.16,79,100,51.43,light snow
124,Isangel,VU,2022-01-09 19:35:10,-19.55,169.2667,93.31,52,20,2.3,few clouds
125,Ambon,ID,2022-01-09 19:35:10,-3.6954,128.1814,80.53,81,94,5.59,overcast clouds
126,Kodiak,US,2022-01-09 19:35:10,57.79,-152.4072,31.51,59,100,11.5,light snow
127,Karratha,AU,2022-01-09 19:35:11,-20.7377,116.8463,82.94,66,0,8.81,clear sky
128,Zhigansk,RU,2022-01-09 19:32:45,66.7697,123.3711,-32.19,96,74,18.7,broken clouds
129,Atar,MR,2022-01-09 19:35:11,20.5169,-13.0499,69.57,11,100,6.89,overcast clouds
130,Luderitz,,2022-01-09 19:35:12,-26.6481,15.1594,64.18,93,3,6.64,clear sky
131,San Lawrenz,MT,2022-01-09 19:35:12,36.0553,14.204,54.81,80,100,4.0,light rain
132,Cururupu,BR,2022-01-09 19:35:12,-1.8283,-44.8683,77.07,93,100,1.54,moderate rain
133,Dukat,RU,2022-01-09 19:35:13,62.55,155.55,-12.17,97,48,2.51,scattered clouds
134,Poum,NC,2022-01-09 19:35:13,-20.2333,164.0167,81.21,78,4,16.28,clear sky
135,Codrington,AU,2022-01-09 19:35:13,-38.2667,141.9667,55.22,88,95,8.37,overcast clouds
136,Pascagoula,US,2022-01-09 19:35:14,30.3658,-88.5561,77.04,83,100,10.36,overcast clouds
137,Kapaa,US,2022-01-09 19:36:14,22.0752,-159.319,74.19,82,100,5.75,overcast clouds
138,Ahipara,NZ,2022-01-09 19:36:14,-35.1667,173.1667,69.69,69,100,1.97,overcast clouds
139,Nabire,ID,2022-01-09 19:36:15,-3.3667,135.4833,74.46,92,100,2.62,overcast clouds
