City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Jamestown,US,2022-01-04 00:47:53,42.097,-79.2353,16.72,81,1,1.01
68,Kaitangata,NZ,2022-01-04 00:47:53,-46.2817,169.8464,66.92,77,100,4.92
69,Riachao,BR,2022-01-04 00:47:53,-7.3619,-46.6172,69.48,97,100,1.95
70,Atuona,PF,2022-01-04 00:47:54,-9.8,-139.0333,78.91,73,93,18.32
71,Georgetown,MY,2022-01-04 00:45:47,5.4112,100.3354,80.53,81,20,0.0
72,Ibicui,BR,2022-01-04 00:47:54,-14.8417,-39.9867,64.71,95,100,3.11
73,Nchelenge,ZM,2022-01-04 00:47:54,-9.3451,28.734,70.3,87,100,6.67
74,Kirillov,RU,2022-01-04 00:47:55,59.863,38.3813,-9.63,100,96,0.78
75,Saint-Philippe,RE,2022-01-04 00:47:55,-21.3585,55.7679,75.22,78,17,7.45
76,Cabo San Lucas,MX,2022-01-04 00:46:40,22.8909,-109.9124,74.5,74,5,4.72
77,Mandalgovi,MN,2022-01-04 00:47:56,45.7625,106.2708,9.99,35,0,7.76
78,Kapaa,US,2022-01-04 00:45:26,22.0752,-159.319,79.12,72,1,1.01
79,Sao Filipe,CV,2022-01-04 00:47:56,14.8961,-24.4956,73.58,63,100,8.19
80,Vaini,TO,2022-01-04 00:47:57,-21.2,-175.2,82.56,89,75,27.63
81,Kulhudhuffushi,MV,2022-01-04 00:47:57,6.6221,73.07,82.11,73,12,7.78
82,Mocuba,MZ,2022-01-04 00:47:57,-16.8392,36.9856,72.84,98,100,0.25
83,Mago,RU,2022-01-04 00:47:58,53.2514,140.1822,-20.65,94,18,1.79
84,Sur,OM,2022-01-04 00:47:58,22.5667,59.5289,75.02,71,100,12.39
85,Alta Gracia,AR,2022-01-04 00:47:58,-31.6529,-64.4283,77.77,75,0,7.38
86,Katherine,AU,2022-01-04 00:47:59,-14.4667,132.2667,84.52,65,88,3.44
87,Khatanga,RU,2022-01-04 00:47:59,71.9667,102.5,-56.06,99,45,4.36
88,Tokat,TR,2022-01-04 00:48:00,40.4167,36.5833,28.22,59,100,5.91
89,Lethem,GY,2022-01-04 00:48:00,3.3803,-59.7968,79.12,64,5,11.52
90,Mount Gambier,AU,2022-01-04 00:48:01,-37.8333,140.7667,67.91,45,75,14.97
91,Lavrentiya,RU,2022-01-04 00:48:01,65.5833,-171.0,0.1,99,96,3.02
92,Samarai,PG,2022-01-04 00:49:02,-10.6167,150.6667,86.13,66,94,6.44
93,Xuddur,SO,2022-01-04 00:49:02,4.1213,43.8894,70.23,88,3,13.89
94,Constitucion,CL,2022-01-04 00:46:20,-35.3333,-72.4167,59.77,93,14,7.52
95,Tselina,RU,2022-01-04 00:49:03,46.5338,41.0328,42.73,90,100,24.76
96,Kumbo,CM,2022-01-04 00:49:03,6.2,10.6667,57.97,39,96,3.13
97,Awbari,LY,2022-01-04 00:49:04,26.5921,12.7805,49.86,71,0,5.12
98,Nikolskoye,RU,2022-01-04 00:49:04,59.7035,30.7861,21.09,95,100,7.07
99,Avarua,CK,2022-01-04 00:49:05,-21.2078,-159.775,82.45,78,75,21.85
100,Alice Springs,AU,2022-01-04 00:49:05,-23.7,133.8833,94.55,20,3,13.8
101,Mount Pleasant,US,2022-01-04 00:49:06,32.7941,-79.8626,48.34,72,1,3.0
102,Tuatapere,NZ,2022-01-04 00:49:06,-46.1333,167.6833,67.87,66,100,4.41
103,Ribeira Grande,PT,2022-01-04 00:49:06,38.5167,-28.7,56.93,59,95,11.23
104,Chokurdakh,RU,2022-01-04 00:49:07,70.6333,147.9167,-28.84,97,30,9.24
105,Hingatungan,PH,2022-01-04 00:49:07,10.584,125.1852,78.82,83,100,13.44
106,Semnan,IR,2022-01-04 00:49:07,35.5729,53.3971,40.05,77,95,1.72
107,Mataram,ID,2022-01-04 00:49:08,-8.5833,116.1167,79.61,84,100,5.53
108,Tiksi,RU,2022-01-04 00:49:08,71.6872,128.8694,-23.53,97,100,11.92
109,Vao,NC,2022-01-04 00:49:08,-22.6667,167.4833,78.98,78,74,18.88
110,Caravelas,BR,2022-01-04 00:49:09,-17.7125,-39.2481,75.83,85,100,6.44
111,Yulara,AU,2022-01-04 00:49:09,-25.2406,130.9889,94.84,21,68,16.11
112,High Level,CA,2022-01-04 00:49:10,58.5169,-117.136,-23.69,69,90,10.36
113,Dhidhdhoo,MV,2022-01-04 00:49:11,6.8833,73.1,82.18,72,21,7.85
114,Papillion,US,2022-01-04 00:46:09,41.1544,-96.0422,36.21,74,1,4.0
115,Waterford,US,2022-01-04 00:49:11,42.7023,-83.4027,23.72,77,20,6.91
116,Barrow,US,2022-01-04 00:49:12,71.2906,-156.7887,-27.38,68,1,10.36
117,Itarema,BR,2022-01-04 00:49:12,-2.9248,-39.9167,79.43,81,21,10.78
118,Havre-Saint-Pierre,CA,2022-01-04 00:49:12,50.2334,-63.5986,5.59,71,1,6.91
119,Pacific Grove,US,2022-01-04 00:48:26,36.6177,-121.9166,55.65,80,100,1.99
120,Banda Aceh,ID,2022-01-04 00:49:13,5.5577,95.3222,77.97,81,96,5.84
